pool,poolSym,liquidity,tick0,tickSpacing,token0,token1,fee
0X92a6f36afc813ad8f59191358c690cd7740c3f57,NA,NA,NA,000c8,0xb34099d74f8bb3df426e6377835959839b89fd59,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,10000
0X7568883c114d991b4a965de9a91733621bc1481c,NA,NA,NA,000c8,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xeb3c784efbf242bb5c55d2ae7445c339b8fc1fa5,10000
0X9d3d663ed1a78b1a7a4ce59a774d317dbf219f2d,NA,NA,NA,000c8,0xa247cc263f7ad29b8873be22683539c0182291a8,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,10000
0X435a44fe4d649968ca9dca5ee0a37b75b34cf69b,NA,NA,NA,000c8,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xc3e34fe8464f1d54a08a862c8a977343807148ac,10000
0X1d05822d9f5b4cf8b85cefcf22eecceb674dc5a5,NA,NA,NA,000c8,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xe00631a3257e75a22e8819e1d8a4d69b61f858e4,10000
0Xaf4a35e5f3e12ad989ccca50db532684f1e042a8,NA,NA,NA,000c8,0x5235097287138e238cfc3c2507eae31f596786a8,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,10000
0X46a4d4a53ffe29db5f263ab6e0d6e45537b0412f,NA,NA,NA,000c8,0x4046eac59ceeadc1e069bc513b3fc5554711aaa7,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,10000
0Xe6086771cace1a75bc5a16663ee074a300ec93b7,NA,NA,NA,000c8,0x46838b6328624ce3eda78e81984e7e977b39643f,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,10000
0X0b1559e3cd05dad5b42fda3ccba44ec7d463cb5e,NA,NA,NA,000c8,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xdddcadbc2b004b15a041cab3234695546971533e,10000
0X6500b9239773e0516ab1ffa123ff9aaea9a318e3,NA,NA,NA,000c8,0x4e77bafc89772b0675d865c495e4f29585a94455,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,10000
0X6fc4073c37a2f6742dc416ba1125f3a0d6540661,NA,NA,NA,000c8,0x958738e040cd81f70aa9fdedbc3a274f2859a4e0,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,10000
0Xfd1d67023d0fed6750092a6ac01d273a2718e49d,NA,NA,NA,000c8,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xca9ac780acdc41d7f5751404bce5f2b29045dcad,10000
